ticker,currency,asset_class,fund_benchmark,fund_category,fund_dividend_policy,fund_domicile,fund_global_category,asset_type,category_type,category_subdetail,issuer,market_cap,ongoing_charge_tercile,super_region,region_group
DSI.BT1,USD,EQUITY,MSCI KLD 400 Social TR,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,BlackRock,4792291501.0,1.0,Americas,North America
DSMC.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US Sm&Mid Cap,Equity,Region,US Sm&Mid Cap,Distillate Capital Partners LLC,98766927.0,2.0,Americas,North America
DSTL.BT1,USD,EQUITY,S&P 500 TR,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Distillate Capital Partners LLC,2020784554.0,2.0,Americas,North America
DSTX.BT1,USD,EQUITY,,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,Distillate Capital Partners LLC,32406501.0,2.0,Global,Global Ex-US
DTAN.BT1,USD,EQUITY,,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,Empowered Funds,2704504.0,,Global,Global Ex-US
DTD.BT1,USD,EQUITY,WisdomTree US Dividend TR USD,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,WisdomTree,1344028847.0,1.0,Americas,North America
DTH.BT1,USD,EQUITY,,Global Ex US,DISTRIBUTION,US,Equity Global Income,Equity,Region,Global Income,WisdomTree,308647639.0,2.0,Global,Global Ex-US
DUBS.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Aptus Capital Advisors LLC,209256223.0,2.0,Americas,North America
DUHP.BT1,USD,EQUITY,Russell 1000 TR USD,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Dimensional Fund,7188816954.0,1.0,Americas,North America
DUKQ.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Ocean Park Asset,9297931.0,,Americas,North America
DUKX.BT1,USD,EQUITY,,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,Ocean Park Asset,1201589.0,,Global,Global Ex-US
DURA.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,VanEck,45611820.0,1.0,Americas,North America
DUSA.BT1,USD,EQUITY,S&P 500 TR,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Davis Selected,579805979.0,2.0,Americas,North America
DVAL.BT1,USD,EQUITY,Russell 3000 TR,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Franklin,110587590.0,2.0,Americas,North America
DVDN.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,Kingsbarn Cap,1322862.0,,Americas,North America
DVLU.BT1,USD,EQUITY,Dorsey Wright Momentum Plus Value TR USD,United States of America,DISTRIBUTION,US,Equity US Sm&Mid Cap,Equity,Region,US Sm&Mid Cap,First Trust,29151880.0,2.0,Americas,North America
DVND.BT1,USD,EQUITY,Russell 1000 Value TR,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,Touchstone,33928083.0,2.0,Americas,North America
DVOL.BT1,USD,EQUITY,Dorsey Wright Momentum Plus Low Volatility TR USD,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,First Trust,55854071.0,2.0,Americas,North America
DVQQ.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,WEBS INVESTMENTS,2312111.0,,Americas,North America
DVSP.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,WEBS INVESTMENTS,2350222.0,,Americas,North America
DVY.BT1,USD,EQUITY,Dow Jones US Select Dividend Total Return Index,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,BlackRock,19972577232.0,1.0,Americas,North America
DVYA.BT1,USD,EQUITY,Dow Jones Asia Pacific Select Dividend 50 NR,Asia Pacific,DISTRIBUTION,US,Equity Asia Pacific,Equity,Region,Asia Pacific,BlackRock,39468463.0,2.0,Asia,Asia Pacific
DVYE.BT1,USD,EQUITY,Dow Jones Emerging Markets Select Dividend NR,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,BlackRock,640221432.0,2.0,Global,Emerging Markets
DWAS.BT1,USD,EQUITY,Dorsey Wright SmallCap Technical Leaders TR USD,United States of America,DISTRIBUTION,US,Equity US Sm&Mid Cap,Equity,Region,US Sm&Mid Cap,Invesco,1008703118.0,2.0,Americas,North America
DWAW.BT1,USD,EQUITY,MSCI AC World NR USD,Global,DISTRIBUTION,US,Equity Global,Equity,Region,Global,AdvisorShares Investments LLC,82634166.0,3.0,Global,Global
DWCR.BT1,USD,EQUITY,MSCI AC World ex USA NR USD,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,Arrow Investment,5594107.0,3.0,Global,Global Ex-US
DWLD.BT1,USD,EQUITY,MSCI AC World NR USD,Global,DISTRIBUTION,US,Equity Global,Equity,Region,Global,Davis Selected,329849461.0,2.0,Global,Global
DWM.BT1,USD,EQUITY,,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,WisdomTree,508580262.0,2.0,Global,Global Ex-US
DWMF.BT1,USD,EQUITY,MSCI EAFE NR LC,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,WisdomTree,29723143.0,1.0,Global,Global Ex-US
DWUS.BT1,USD,EQUITY,S&P 500 TR,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,AdvisorShares Investments LLC,113667135.0,3.0,Americas,North America
DWX.BT1,USD,EQUITY,S&P International Dividend Opportunities TR,Global Ex US,DISTRIBUTION,US,Equity Global Income,Equity,Region,Global Income,State Street,382299967.0,2.0,Global,Global Ex-US
DXIV.BT1,USD,EQUITY,,Global Ex US,DISTRIBUTION,US,Equity Global ex US Sm&Mid Cap,Equity,Region,Global ex US Sm&Mid Cap,Dimensional Fund,50573060.0,,Global,Global Ex-US
DXJ.BT1,USD,EQUITY,WisdomTree Japan Hedged Equity CR USD,Japan,DISTRIBUTION,US,Equity Japan,Equity,Region,Japan,WisdomTree,3906401460.0,2.0,Asia,East Asia
DXJS.BT1,USD,EQUITY,,Japan,DISTRIBUTION,US,Equity Japan,Equity,Region,Japan,WisdomTree,72739627.0,2.0,Asia,East Asia
DXUV.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US Sm&Mid Cap,Equity,Region,US Sm&Mid Cap,Dimensional Fund,77877150.0,,Americas,North America
DYNF.BT1,USD,EQUITY,MSCI USA TR USD,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,BlackRock,13591878057.0,1.0,Americas,North America
DYNI.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,IDX Advisors,22329048.0,,Americas,North America
EAFG.BT1,USD,EQUITY,Pacer Developed Markets Cash Cows Growth Leaders TR USD,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,Pacer Advisors,472780.0,,Global,Global Ex-US
EAGL.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Eagle,2223849841.0,,Americas,North America
EASG.BT1,USD,EQUITY,MSCI EAFE ESG Leaders NR,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,DBX Advisors LLC,51282436.0,1.0,Global,Global Ex-US
EATV.BT1,USD,EQUITY,S&P 500 TR,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Vegtech,5822107.0,3.0,Americas,North America
EBIT.BT1,USD,EQUITY,Harbor AlphaEdge Small Cap Earners USD,United States of America,DISTRIBUTION,US,Equity US Sm&Mid Cap,Equity,Region,US Sm&Mid Cap,Harbor Capital Advisors Inc,7205909.0,,Americas,North America
ECH.BT1,USD,EQUITY,MSCI Chile IMI 25-50 NR USD,Chile,DISTRIBUTION,US,Equity Chile,Equity,Region,Chile,BlackRock,477423351.0,2.0,Americas,Latin America
ECML.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Empowered Funds,170089479.0,3.0,Americas,North America
ECNS.BT1,USD,EQUITY,MSCI China Small Cap TR USD,China,DISTRIBUTION,US,Equity China,Equity,Region,China,BlackRock,61745314.0,2.0,Asia,East Asia
ECON.BT1,USD,EQUITY,Beta Advantage Rsrch Enhncd Sol Emrng Ecms CR USD,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,Columbia Mgt,91232179.0,2.0,Global,Emerging Markets
ECOW.BT1,USD,EQUITY,Pacer Emerging Markets Cash Cows 100 NR USD,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,Pacer Advisors,92130128.0,2.0,Global,Emerging Markets
EDEN.BT1,USD,EQUITY,MSCI Denmark IMI 25/50 NR USD,Denmark,DISTRIBUTION,US,Equity Denmark,Equity,Region,Denmark,BlackRock,245746677.0,2.0,Europe,Nordic
EDGI.BT1,USD,EQUITY,,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,3Edge Asset,14399957.0,,Global,Global Ex-US
EDGU.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,3Edge Asset,54471261.0,,Americas,North America
EDIV.BT1,USD,EQUITY,S&P Emerging Markets Dividend Opportunities TR,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,State Street,538872951.0,2.0,Global,Emerging Markets
EDOG.BT1,USD,EQUITY,S-Network EM Dividend Dogs Portfolio NR USD,Global Emerging Markets,DISTRIBUTION,US,Equity Global Income,Equity,Region,Global Income,ALPS Advisors,25474150.0,2.0,Global,Emerging Markets
